S. No.,University Name,College Name,College Type,State Name,District Name
5369,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI DEEN DAYAL KUSHWAHA MAHAVIDYALAYA, SAMBHALPUR, (Id: C-12083)",Affiliated College,Uttar Pradesh,Kanpur Nagar
5370,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI DEVI PRASAD MAHAVIDYALAYA, PILAKHANI, JANGHAI, (Id: C-12073)",Affiliated College,Uttar Pradesh,Allahabad
5371,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRIDHAR SINGH YADAV MAHAVIDYALAYA, GOSAURA KALA, (Id: C-12136)",Affiliated College,Uttar Pradesh,Allahabad
5372,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI DIMOND DEGREE COLLEGE, MAHUIPURI, (Id: C-12524)",Affiliated College,Uttar Pradesh,Hardoi
5373,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI D.P. VERMA MEMORIAL DEGREE COLLEGE, KHAGESIYAMAU, (Id: C-12328)",Affiliated College,Uttar Pradesh,Sitapur
5374,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)",SRI GAJENDRA SINGH SMRATI VIDHI M/V (Id: C-48423),Affiliated College,Uttar Pradesh,Auraiya
5375,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GANDHI DEGREE COLLEGE, SIDHAULI, (Id: C-12608)",Affiliated College,Uttar Pradesh,Sitapur
5376,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GAYADEEN MAURYA MAHAVIDYALAYA, RATHGAON, BAMURAHA, (Id: C-12528)",Affiliated College,Uttar Pradesh,Auraiya
5377,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GHURAI LAL VERMA SCIENCE MAHAVIDYALAYA, NAYAGAON, (Id: C-12189)",Affiliated College,Uttar Pradesh,Hardoi
5378,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GOPINATH SINGH LAW COLLEGE, YADUVANSH NAGAR, TALGRAM , (Id: C-12481)",Affiliated College,Uttar Pradesh,Kannauj
5379,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI G S Y D SMARAK MAHAVIDHYALYA SHANKARPUR KUDARKOT, AURRAIYA (Id: C-46442)",Affiliated College,Uttar Pradesh,Auraiya
5380,"Chatrapati Sahuji Maharaj Kanpur University, Kanpur (Id: U-0505)","SRI GULAB SINGH MAHAVIDYALAYA, BARMUPUR, (Id: C-12342)",Affiliated College,Uttar Pradesh,Auraiya
